,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
15914,25-34,Education (Primary/Secondary),54000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,College degree,Man,White,Executive Level
15916,35-44,Computing or Tech,65403,USD,United States,,11 - 20 years,2 - 4 years,College degree,Other or prefer not to answer,White,Mid Level
15917,25-34,Education (Higher Education),48500,USD,United States,Massachusetts,2 - 4 years,1 year or less,College degree,Man,White,Mid Level
15918,25-34,Computing or Tech,70000,USD,United States,Washington,8 - 10 years,5-7 years,Master's degree,Woman,White,Managerial Level
15919,35-44,Sales,85000,USD,United States,California,21 - 30 years,5-7 years,College degree,Woman,Black or African American,Managerial Level
15920,35-44,"Accounting, Banking & Finance",133551,USD,United States,,21 - 30 years,8 - 10 years,College degree,Man,White,Managerial Level
15921,25-34,Recruitment or HR,96000,USD,United States,Colorado,8 - 10 years,8 - 10 years,Master's degree,Man,White,Executive Level
15922,25-34,Computing or Tech,157000,USD,United States,Pennsylvania,5-7 years,5-7 years,Master's degree,Man,White,Mid Level
15923,18-24,"Marketing, Advertising & PR",36249,USD,United Kingdom,,2 - 4 years,2 - 4 years,College degree,Man,White,Executive Level
15924,35-44,Engineering or Manufacturing,63596,USD,United States,,11 - 20 years,8 - 10 years,College degree,Man,White,Executive Level
15925,45-54,Entertainment,53779,USD,Germany,,8 - 10 years,5-7 years,Master's degree,Man,White,Executive Level
15926,18-24,"Accounting, Banking & Finance",38000,USD,United States,Michigan,2 - 4 years,1 year or less,College degree,Woman,White,Mid Level
15927,25-34,Education (Higher Education),48750,USD,United States,North Carolina,5-7 years,5-7 years,Master's degree,Woman,Black or African American,Mid Level
15928,25-34,Computing or Tech,81391,USD,United States,,8 - 10 years,8 - 10 years,College degree,Man,White,Senior Level
15929,35-44,Computing or Tech,115000,USD,United States,Oregon,11 - 20 years,5-7 years,Master's degree,Man,White,Mid Level
15930,25-34,Government and Public Administration,61770,USD,United States,,8 - 10 years,11 - 20 years,Master's degree,Woman,White,Mid Level
15931,25-34,Computing or Tech,72000,USD,United States,Wisconsin,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
15932,25-34,"Accounting, Banking & Finance",75000,USD,United States,West Virginia,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
15933,45-54,Health care,40475,USD,United States,Georgia,21 - 30 years,2 - 4 years,College degree,Woman,White,Mid Level
15934,55-64,Nonprofits,43598,USD,United States,Washington,31 - 40 years,11 - 20 years,College degree,Woman,White,Mid Level
15935,35-44,Computing or Tech,80669,USD,Germany,,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
15936,35-44,Business or Consulting,215000,USD,United States,Massachusetts,8 - 10 years,2 - 4 years,PhD,Man,White,Junior Level
15937,25-34,Education (Higher Education),48300,USD,United States,Nevada,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Senior Level
15938,25-34,Government and Public Administration,35000,USD,United States,Oregon,11 - 20 years,2 - 4 years,Some college,Man,White,Mid Level
15939,25-34,Health care,76460,USD,"Virgin Islands, U.S.",Oregon,11 - 20 years,2 - 4 years,College degree,Man,White,Mid Level
15940,35-44,Education (Higher Education),55328,USD,United Kingdom,,8 - 10 years,8 - 10 years,PhD,Woman,White,Senior Level
15941,35-44,Sales,64967,USD,United States,,21 - 30 years,11 - 20 years,High School,Man,White,Mid Level
15942,35-44,Business or Consulting,230000,USD,United States,Arizona,21 - 30 years,5-7 years,College degree,Man,White,Senior Level
15943,35-44,Computing or Tech,127000,USD,United States,Texas,21 - 30 years,2 - 4 years,Master's degree,Woman,White,Senior Level
15944,25-34,Computing or Tech,110000,USD,United States,Oregon,2 - 4 years,2 - 4 years,Some college,Man,White,Mid Level
15945,25-34,Computing or Tech,155000,USD,United States,Minnesota,5-7 years,5-7 years,Master's degree,Man,White,Senior Level
15946,35-44,Government and Public Administration,39242,USD,United States,,21 - 30 years,5-7 years,College degree,Woman,White,Mid Level
15947,18-24,"Marketing, Advertising & PR",29254,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,Another option not listed here or prefer not to answer,Executive Level
15948,25-34,Computing or Tech,118000,USD,United States,Massachusetts,5-7 years,2 - 4 years,College degree,Woman,White,Managerial Level
15949,35-44,Computing or Tech,200000,USD,United States,Washington,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
15950,35-44,Education (Higher Education),37788,USD,United States,,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
15951,35-44,Business or Consulting,175000,USD,United States,Indiana,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
15952,45-54,Nonprofits,54900,USD,United States,Illinois,21 - 30 years,11 - 20 years,Some college,Man,White,Managerial Level
15953,45-54,Computing or Tech,100000,USD,United States,Maryland,21 - 30 years,11 - 20 years,College degree,Woman,White,Mid Level
15954,35-44,Engineering or Manufacturing,132000,USD,United States,California,2 - 4 years,2 - 4 years,PhD,Man,White,Senior Level
15955,35-44,Law,190000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White,Mid Level
15956,18-24,Retail,20013,USD,United States,,1 year or less,1 year or less,Some college,Woman,White,Managerial Level
15957,25-34,Computing or Tech,139260,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Man,White,Senior Level
15958,25-34,Computing or Tech,79500,USD,United States,Michigan,5-7 years,5-7 years,College degree,Man,White,Mid Level
15959,35-44,Computing or Tech,81000,USD,United States,Minnesota,11 - 20 years,11 - 20 years,Some college,Man,Black or African American,Mid Level
15960,55-64,Education (Higher Education),172000,USD,United States,District of Columbia,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American,Mid Level
15961,35-44,Education (Higher Education),130000,USD,United States,Illinois,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Junior Level
15962,25-34,Media & Digital,57500,USD,United States,Virginia,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
15964,35-44,"Marketing, Advertising & PR",127000,USD,United States,Indiana,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
15965,25-34,Nonprofits,58000,USD,United States,District of Columbia,5-7 years,5-7 years,College degree,Man,White,Mid Level
15966,35-44,Art & Design,95394,USD,United States,,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
15967,25-34,Education (Higher Education),52000,USD,United States,Texas,2 - 4 years,1 year or less,College degree,Woman,White,Mid Level
15968,25-34,Nonprofits,85000,USD,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Executive Level
15970,18-24,Computing or Tech,105000,USD,United States,Illinois,2 - 4 years,2 - 4 years,College degree,Non-binary,Asian or Asian American,Mid Level
15971,25-34,Health care,115000,USD,United States,California,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
15972,35-44,Property or Construction,34341,USD,United Kingdom,,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
15973,25-34,Computing or Tech,189560,USD,United States,Tennessee,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
15975,35-44,"Marketing, Advertising & PR",43023,USD,Ireland,,21 - 30 years,2 - 4 years,College degree,Woman,White,Managerial Level
15976,35-44,Computing or Tech,294000,USD,United States,California,5-7 years,5-7 years,PhD,Non-binary,White,Mid Level
15977,25-34,Transport or Logistics,60500,USD,United States,Georgia,11 - 20 years,8 - 10 years,College degree,Man,White,Mid Level
15979,25-34,Retail,41288,USD,United States,Illinois,8 - 10 years,5-7 years,Some college,Woman,Black or African American,Managerial Level
15980,25-34,"Accounting, Banking & Finance",95394,USD,United States,,11 - 20 years,11 - 20 years,Master's degree,Man,White,Managerial Level
15981,35-44,Health care,135000,USD,United States,Oregon,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Non-binary,White,Mid Level
15982,35-44,Health care,190788,USD,United Kingdom,,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Another option not listed here or prefer not to answer,Mid Level
15983,45-54,Government and Public Administration,90000,USD,United States,Virginia,21 - 30 years,11 - 20 years,Master's degree,Man,Another option not listed here or prefer not to answer,Managerial Level
15984,45-54,Computing or Tech,205000,USD,United States,Minnesota,21 - 30 years,21 - 30 years,Master's degree,Man,White,Mid Level
15985,25-34,Nonprofits,61900,USD,United States,Florida,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
15986,35-44,Recruitment or HR,38157,USD,United Kingdom,,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
15987,35-44,Media & Digital,30526,USD,United States,,11 - 20 years,8 - 10 years,College degree,Man,White,Mid Level
15988,25-34,Nonprofits,51500,USD,United States,Massachusetts,2 - 4 years,1 year or less,Some college,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
15989,35-44,Insurance,60000,USD,United States,Ohio,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
15990,25-34,Nonprofits,37062,USD,United States,,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
15991,45-54,Computing or Tech,220000,USD,United States,Oregon,31 - 40 years,21 - 30 years,College degree,Man,White,Managerial Level
15992,25-34,Computing or Tech,230000,USD,United States,Texas,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
15993,45-54,Media & Digital,110657,USD,United Kingdom,,11 - 20 years,11 - 20 years,Some college,Man,White,Mid Level
15994,25-34,Computing or Tech,165349,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,Black or African American,Senior Level
15995,25-34,Education (Higher Education),56000,USD,United States,Texas,11 - 20 years,5-7 years,Master's degree,Woman,White,Managerial Level
15996,25-34,"Accounting, Banking & Finance",81000,USD,United States,North Carolina,8 - 10 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer,Mid Level
15997,25-34,Computing or Tech,38000,USD,United States,Wisconsin,2 - 4 years,2 - 4 years,High School,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
15998,25-34,Social Work,58500,USD,United States,Washington,11 - 20 years,5-7 years,Some college,Woman,White,Managerial Level
15999,25-34,Art & Design,43000,USD,United States,Minnesota,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
16000,45-54,Computing or Tech,264000,USD,United States,Massachusetts,21 - 30 years,21 - 30 years,PhD,Man,White,Managerial Level
16001,35-44,Social Work,83000,USD,United States,Utah,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
16002,35-44,Government and Public Administration,88542,USD,United Kingdom,,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
16003,25-34,Media & Digital,55964,USD,United Kingdom,,5-7 years,5-7 years,College degree,Man,White,Mid Level
16004,25-34,"Marketing, Advertising & PR",36249,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
16005,18-24,"Accounting, Banking & Finance",43000,USD,United States,Wyoming,5-7 years,1 year or less,Some college,Woman,White,Mid Level
16006,25-34,Education (Higher Education),410000,USD,United States,Missouri,8 - 10 years,8 - 10 years,PhD,Man,White,Mid Level
16007,18-24,Law Enforcement & Security,89000,USD,United States,Washington,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
16008,45-54,"Leisure, Sport & Tourism",80131,USD,United Kingdom,,21 - 30 years,5-7 years,College degree,Woman,White,Managerial Level
16009,35-44,Insurance,60000,USD,United States,Ohio,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
16010,25-34,Computing or Tech,185000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Man,Middle Eastern or Northern African,Managerial Level
16011,25-34,"Marketing, Advertising & PR",163500,USD,United States,North Carolina,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
16012,25-34,Health care,89000,USD,United States,Indiana,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
16013,35-44,Entertainment,47000,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
16014,35-44,Law,70000,USD,United States,Florida,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,Junior Level
16015,25-34,Computing or Tech,270000,USD,United States,Massachusetts,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
16016,25-34,Computing or Tech,131742,USD,United States,California,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
16017,35-44,Media & Digital,60000,USD,United States,Maryland,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
16018,25-34,Media & Digital,34341,USD,United Kingdom,,8 - 10 years,5-7 years,College degree,Woman,White,Executive Level
16019,25-34,Health care,45000,USD,United States,Texas,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
16020,35-44,Recruitment or HR,100481,USD,United States,,11 - 20 years,2 - 4 years,College degree,Woman,White,Managerial Level
16021,45-54,Retail,36885,USD,United Kingdom,,31 - 40 years,11 - 20 years,College degree,Non-binary,White,Mid Level
16022,35-44,Engineering or Manufacturing,66267,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
16023,25-34,Computing or Tech,85400,USD,United States,North Carolina,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
16024,35-44,Engineering or Manufacturing,58889,USD,United States,,21 - 30 years,21 - 30 years,College degree,Man,White,Managerial Level
16025,35-44,Computing or Tech,122104,USD,Germany,,11 - 20 years,8 - 10 years,Master's degree,Man,Asian or Asian American,Managerial Level
16026,35-44,Computing or Tech,142455,USD,United Kingdom,,21 - 30 years,11 - 20 years,College degree,Man,White,Managerial Level
16027,45-54,Retail,31798,USD,United States,,21 - 30 years,11 - 20 years,Some college,Man,White,Mid Level
16028,25-34,Health care,46788,USD,Germany,,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer,Mid Level
16029,25-34,Engineering or Manufacturing,110000,USD,United States,Massachusetts,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American,Managerial Level
16030,35-44,Education (Higher Education),50000,USD,United States,North Dakota,5-7 years,5-7 years,Master's degree,Man,White,Mid Level
16031,35-44,Education (Higher Education),43245,USD,United Kingdom,,21 - 30 years,2 - 4 years,Master's degree,Man,White,Mid Level
